0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
(444.921478747601+12124.121506713604j),(-22.542515814500106+1936.7458028859398j),(-813.626745514492+1638.5268787502002j),(63.24399329439997+780.6927061143001j),(661.8185196712999+1080.864831318j),(-21.56698405400013+1331.5401119808j),(-107.44016491918012+1563.8137734421002j),(460.67681423650004+2038.4915097980002j),(14.906380862500185+1809.1739187735002j),(13486.1334533534+947.8887790253007j),(-300.66786659949975+1267.75467412598j),(-447.3752002802+2578.2978409667j),(57.68075983846009+1707.5098983473j),(86.20988379000005+1910.9470745301003j),(155.57017135309997+1963.1792053769004j),(257.2729228995323+2381.1478038827j),(46.78084743280014+1819.3663483220803j),(-50.15174799610011+2043.1190938995999j),(652.4417129767+2364.048142124j),(-10.872821593881937+1789.3718745949j),(101.96303388839999+1464.3821262809001j),(371.25136872950003+2562.7424538274j),(-285.52380407549987+1407.962026573j),(22425.187444582858-7634.862124289801j),(103.06976434759996+1802.2199057377002j),(439.09809871080006+1155.6313701323998j),(122.82380694699995+1763.559570356431j),(-269.03142400799993+1221.90009173834j)
(281.41626128718417+12072.222047208743j),(267.71981263908003+1812.8010601920032j),(-879.4839353916279+1664.519099444524j),(146.7849923908752+1150.1165115272615j),(-594.9652223384082+1112.6870796173207j),(260.2133046001584+1587.8868238642335j),(-294.38950278072457+2107.9912984993302j),(218.28233102922457+1987.4559502177988j),(31.64250749493271+1896.0245768123295j),(13830.078594060069+1149.3089934351888j),(182.57555167406986+1402.9643795313045j),(827.2893176461289+1539.1399355866847j),(105.03287884471027+1877.4113501083839j),(-258.13419324100914+2257.5395950787242j),(89.44785290786324+1756.9776041326472j),(117.17104211375275+2235.292752120986j),(165.80907246691+1561.2315770327154j),(288.92667350852855+1827.282177649359j),(99.98289541242892+1899.3401234225207j),(228.00999518935106+1911.3809958949355j),(117.05772894026036+1642.8570260576503j),(752.4446557875282+2256.7713695081175j),(-213.50068915027902+1343.438142500011j),(18228.631040504206-12192.018436317334j),(118.1571565887621+2015.305634125723j),(-635.0691238883684+2054.201552810284j),(135.67095109929198+1863.5343125555123j),(-86.83747685042493+2692.0803955971933j)
(-12.457513459272832+12830.523879177614j),(210.53513669727323+1826.692813396633j),(-780.2547384347025+1664.3840888685563j),(-9.510915432062099+928.5082253705493j),(-194.8216733246586+2307.434126595853j),(14.737708049431433+2434.32227075921j),(-12.4365704438421+1883.429000662832j),(100.89172209400417+1772.9345036350715j),(276.0686181468591+1970.065234292758j),(14268.534237158943+1174.5727006504367j),(517.4092883362915+1735.11759797818j),(-97.3935256747084+2043.840108749031j),(122.15188282467489+1893.0724207204798j),(69.97683488466835+1672.1546028592152j),(224.19037178829294+1831.6120402748609j),(122.37616902630722+1959.0698731494717j),(116.43181436269032+2083.9990332590423j),(273.99421944634975+1987.117024596128j),(633.433287770326+2062.1916196405687j),(41.59509527571895+2022.4631824920698j),(359.43150676136577+1733.317100242929j),(-247.75378925292026+2008.6514412244974j),(-92.18888610444114+1108.7673304945465j),(13688.163332431088-11967.344136340667j),(111.04187012864695+1956.617635874879j),(-415.5910999649037+1595.9007679081978j),(278.52124095125237+1826.7025955491997j),(-61.293340892734705+1887.9404655919434j)
(277.49217259845364+12266.885237801478j),(323.4084692736599+1669.9844887962663j),(-848.3115975259492+1684.931068276945j),(158.2473827542047+1040.1126815236198j),(172.07331485186913+2243.6037354018367j),(-516.3365595821311+1095.5521960920357j),(-99.21017850089402+1951.0962176323744j),(187.0237638535869+1870.8647536123626j),(302.68835853408973+2004.9276016642057j),(15012.203676655583+1350.5757384471497j),(71.946594299136+1730.5585384418887j),(369.92826055402793+1907.6242578725964j),(191.71865745258944+1969.427139519358j),(499.3397547470085+2341.9648749535886j),(288.7749057804959+1962.0013313466536j),(247.98056090905982+2423.3060442949463j),(59.80555796686026+1849.177015886981j),(-74.49867434012137+2222.8608782745728j),(258.6684787523717+2331.990857640926j),(342.86185991247464+2001.8825953193307j),(205.3682538532643+1698.120567129281j),(566.3966612212521+2127.893574921841j),(198.69827649488104+929.9462948681639j),(11199.78122631224-10309.126528101322j),(198.2816952907037+2059.8021807466766j),(-212.03954221120932+1619.1794756747852j),(210.13469934145093+2025.0612790073592j),(508.9568928526436+1740.9376801332392j)
(417.0577571319702+12668.33641511955j),(352.0716063188718+1680.8931389089612j),(-724.6196058110979+1742.5764599426054j),(185.70311618861973+1008.393138381489j),(-133.69954902783968+1521.8542522234688j),(693.4233479185144+1577.700283728916j),(188.15562708219386+1777.5323927478926j),(67.80716505803285+1863.088240261216j),(99.72133017821415+1732.250820282166j),(15611.065781050895+1271.3131442989848j),(-258.946119936683+1337.6065405304998j),(294.15198603717704+1967.8245522653128j),(214.08616566768313+1952.175473562192j),(448.37487308779316+2116.7737729318915j),(-174.5241837890764+1961.1112718226032j),(-1.2655921770479495+1656.9404022547121j),(580.5847854467575+2144.8562657305865j),(182.6170611356169+1849.3389895433431j),(317.83144597875327+2178.8239706033532j),(226.39640893404834+1860.1550515291674j),(639.5901297500766+1771.1276426522152j),(456.4455725284118+2082.991751513479j),(-221.8270719219543+1649.6362228541743j),(10075.406827468192-9429.438824839359j),(178.07101803511614+2082.614087937052j),(36.03519396284509+2079.1513458878935j),(238.3804555768085+1997.4297460453513j),(-161.2324760788324+2494.3714837313883j)
(609.1844347555639+13273.244628725708j),(180.4315737933021+1872.0592755287928j),(-627.2700350103751+1781.0437207608602j),(-11.01075835866967+997.6826292160504j),(-633.8850099516623+1808.3370592236834j),(537.1331696986588+1484.7173696777277j),(-20.298600012989468+1713.8504384634593j),(227.92533822915567+2300.1123312233053j),(345.70284239341424+2021.4063988653927j),(16002.678716563318+835.7781694971936j),(262.39075790670864+850.1555471305345j),(305.23580985821417+2521.5087566695192j),(103.19328750959814+2064.3540571317226j),(306.35761774503453+2371.3655108816342j),(194.53468892032583+1911.8149550236817j),(-9.424620537371453+2757.6503715413073j),(471.0379681298044+1790.7051839122214j),(230.1583179113347+2113.4994739079725j),(-68.00310465359533+2452.0505585931855j),(190.3502518037835+1884.0275125171954j),(1187.1806056531693+1497.850400772154j),(359.1298509424145+2039.6378706465966j),(-137.20371680792758+1659.1449695677386j),(9048.177419908823-8350.100480993588j),(324.84274789414496+2037.2883267561128j),(-673.7188070883252+1464.7805377621205j),(331.00125489570786+1958.322418530509j),(-220.8162025903427+1424.5575513715794j)
(366.96971795119816+12754.122210613665j),(232.8200642092635+1900.4390195016936j),(-813.3735165970509+1771.2979875045776j),(9.013545338431129+1147.2985967712334j),(-65.50155200105291+970.1768688856478j),(984.6526506061712+1712.4288711277698j),(326.99656958836135+1908.881260775105j),(54.317342330350144+2011.9334064543368j),(131.0732528672841+1802.2526838555445j),(16469.440862458505+872.2921171665037j),(65.6126541161216+1588.2874351762612j),(690.4786514949967+1905.8657033322615j),(120.1018520389816+1970.5401784822393j),(136.13348500134458+2408.6105518522418j),(430.3886067838496+1847.7271321317667j),(351.4292604186875+2059.1933354941243j),(43.818651471627106+1700.0218254724389j),(368.27834201724403+1834.8293877482631j),(-232.05055600968947+2354.6489782934664j),(245.42426316332816+1946.5601559875163j),(805.1847468428673+2010.4176260063432j),(564.1116999806184+2052.5741128590853j),(192.8860273529796+1460.9100808416856j),(8471.73387002019-7447.560254099273j),(524.4683269228342+1793.213258072104j),(695.8680404323305+2089.16858693183j),(191.73349513709132+1938.0687921189642j),(-793.4942921995467+1924.3417815671078j)
(256.4110644837317+12947.718187612812j),(502.9198980843347+2012.149855614601j),(-835.5225319681958+1878.1437316962783j),(304.7658992347373+1118.0210253917276j),(-451.2613265875078+2103.874653709876j),(-314.7852045891899+1963.062170846659j),(88.1314187001503+2535.2678931443797j),(182.21667128920024+2327.4696882807175j),(462.0010279021193+2084.6814401465836j),(17480.504545657735+1069.584455092005j),(-194.70018208180102+1556.1183437494424j),(315.76630814510077+2529.0733750264108j),(276.10886870153973+2052.927466192428j),(493.05475737150164+2246.3405061468575j),(382.27411694966645+1721.0519869494003j),(98.41799409826945+2158.5063909107066j),(554.835972867282+2430.914230600625j),(161.98713274237457+2103.456324058339j),(666.4060033557719+2246.46765188005j),(289.31575387654107+2045.5946574302607j),(151.9344005384134+1971.2110469040485j),(145.18643249358843+2304.4689594164647j),(343.3043270706158+1622.2129633543946j),(7829.075850207493-6476.2109096669155j),(286.420245918926+1968.4847272633383j),(-30.53747683938218+2273.6046318893814j),(198.53072469541078+2017.409359542182j),(311.79277773752347+1882.1275798488114j)
(230.43841375113834+12742.890117360086j),(223.81327184241158+2122.767540052336j),(-767.4172558854026+1954.2222501520205j),(230.41069843610694+1137.3914051134343j),(877.5801979972156+1757.5741915638012j),(1259.3230178324297+1753.5784572589432j),(418.7978842534458+2462.250950459632j),(285.1458532867846+2194.4054115816557j),(344.37839827828634+2030.0936957401052j),(18010.214112937956+1191.2865013561577j),(235.44711251048778+1563.5022441598073j),(-163.40039623107225+1587.3527625578026j),(239.14382877492363+2118.0961362536673j),(677.4069640645839+2374.075857539731j),(54.62118351811459+2105.5593526462085j),(169.97279938397378+2464.817892546266j),(470.20490162084417+2337.4699658128243j),(425.89837415511454+1954.4120865271843j),(147.4769462886058+2605.6205686494095j),(424.13691036284587+2250.3159162546613j),(104.07151722353805+2120.466783462495j),(945.9159342051553+2278.2902865664155j),(656.1703582631545+1089.2466878715138j),(7581.7246098123815-5955.041899824946j),(268.9472695685645+2045.384367615066j),(-256.5578198748022+1885.7556374890491j),(343.66544840191676+2002.0541344263227j),(-200.37795755640053+1455.7393125142946j)
(125.26614766785588+13116.60668476953j),(256.0670360809945+2161.789499137447j),(-804.9852753238351+1984.1562008130984j),(164.7191330421706+947.949836727799j),(921.5877658579652-217.00708218763583j),(-577.9214070646353+2035.9278227587288j),(706.0108361414234+2122.6735611947925j),(549.6483241367716+2156.681502705397j),(329.1675855079733+2090.64269324403j),(19166.593791086696+891.8195443256268j),(-370.1339246500937+1383.4955791526659j),(525.5258387421325+2692.5716776114564j),(373.9424237393315+2043.5969534177154j),(978.5985451933674+2281.492501254412j),(296.2632080393986+2213.4778869513734j),(47.222434219060574+2412.4651551056177j),(382.3321221798351+2077.025965286323j),(650.5111724719021+2326.5764713920116j),(1049.2955663147955+2614.619124800382j),(418.8103484640511+2043.6086289177586j),(-257.46057731302824+2012.1149944321983j),(551.178829027748+2220.619757916457j),(265.76303511690054+1228.1878575854075j),(7282.036753331878-5510.768443786483j),(345.40044412721363+2030.2716782337468j),(545.8916690436929+2219.022473868002j),(324.19117898514145+1984.5557919356997j),(146.46459659934698+1642.3193719378796j)
(7.499381183179139+13594.784201264549j),(267.3075704526428+1961.874779765008j),(-684.0559377110188+2042.4782500192541j),(548.2478949628965+1012.195211164727j),(-220.70594994729066+2158.9547263528657j),(476.79143223740357+1048.0015444316814j),(164.57859358618987+2066.1905722880483j),(709.0433496050863+2187.988043728091j),(362.8158596563007+2109.390242812823j),(20170.55415091267+896.6556304655794j),(-265.3125501866041+2075.166660673043j),(1063.6996686255843+1270.880665107926j),(493.1753345685988+2103.378988394089j),(125.16587274249562+2274.5305601519344j),(334.2474078486928+1986.0429861557695j),(346.2568949898264+2013.1249414810613j),(539.734562888455+1850.065329551027j),(516.029128332842+2053.730497877558j),(723.0221244476129+1672.9709383971845j),(504.6444446032661+2068.805274230943j),(1130.1388916249705+1707.4892190461092j),(679.8130817367689+2149.574423547458j),(614.8386253930958+1508.8703365862957j),(6862.093974677198-5179.881053388987j),(485.7755884823216+1949.1896503624394j),(387.6183853673411+2177.12009065521j),(368.14645492325167+2074.0328020223938j),(169.38014129914217+1732.7111929200905j)
(172.73257153070836+13702.36300475009j),(355.7092892840693+1876.0465136531263j),(-592.4477552342048+2001.7019010634249j),(418.6292180990712+946.3855145030484j),(655.1355016153223+2214.2776737787635j),(137.51267288817337+1835.0600459200678j),(514.8457812865463+1852.6191241151328j),(519.8802501260456+2320.236196580875j),(672.772570682778+1856.513558182161j),(21214.54442422851+907.5255114878304j),(103.5153431456489+1790.381889461226j),(201.133247495989+2360.6102056858363j),(395.9644751586047+2190.2568484521034j),(562.7325556442726+2091.161246159209j),(528.0675098817925+1998.6132544709144j),(155.6964768559181+2438.011110352001j),(382.33182932103335+2046.0459174415232j),(461.76639267257497+2184.3203582382566j),(707.2073956757076+2268.920246176768j),(536.723108943396+2085.445383541135j),(342.93800121535213+1623.444151758017j),(525.4349044244725+1946.68908169454j),(79.58662183304068+1024.75576110898j),(6956.54888423085-4859.871732742238j),(486.74266582797725+2101.2101122960003j),(448.3336292169736+2233.3835402442337j),(413.55854606591504+2147.514691294558j),(-66.78506047161517+1090.6331992984576j)
