0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
-0.1895307458,-0.2881129285,-0.4549424833,-0.27002165,-0.1437899316,-0.2879072013,-0.3060167578,-0.1862081468,-0.2802154347,2.560694206,-0.3467660108,-0.3777047127,-0.2711948648,-0.2651784372,-0.2505512389,-0.2291034282,-0.2734935171,-0.2939353627,-0.1457673803,-0.2856519391,-0.2618562991,-0.2050668305,-0.3435723215,4.4458264606,-0.2616229038,-0.1907588222,-0.2574570287,-0.3400942893
-0.2404494667,-0.2472568783,-0.4335895368,-0.2183322673,-0.2652473167,-0.2422948095,-0.2721369809,-0.217313995,-0.2324282354,2.5533875908,-0.2158649069,-0.1523723492,-0.2318490214,-0.2374139159,-0.2382541776,-0.2971236544,-0.2059069713,-0.2316206807,-0.2446548451,-0.2324873441,-0.2122668833,-0.191579038,-0.2696848497,3.7581493283,-0.2084250374,-0.3346304026,-0.2187235867,-0.2196297682
-0.2067885064,-0.1634997044,-0.3875610152,-0.2358337141,-0.2835286667,-0.1906996247,-0.2216630372,-0.2075817639,-0.1939446643,2.6085424607,-0.1621365098,-0.1757259356,-0.1996875241,-0.2157114172,-0.1967498253,-0.2009282205,-0.1884478752,-0.1730015923,-0.1674466951,-0.2133702139,-0.2386715257,-0.2663217317,-0.2248231305,3.0443829659,-0.200348525,-0.3428529088,-0.187354365,-0.208246734
-0.1514414208,-0.218527503,-0.4099378276,-0.2072206531,-0.2547699586,-0.244609121,-0.2379491062,-0.1948520235,-0.1878292452,2.6603745936,-0.2245368774,-0.215773905,-0.2222693633,-0.1317910848,-0.2100998567,-0.2239874446,-0.2068581894,-0.2383799865,-0.0938709215,-0.1797308967,-0.1334818122,-0.0947602311,-0.191021336,2.7358767981,-0.1906598219,-0.2693937077,-0.1998175031,-0.262681595
-0.1474159041,-0.2035408448,-0.3781600138,-0.2016018417,-0.1871102339,-0.1916439105,-0.1992645284,-0.2167181572,-0.1976607778,2.6720056621,-0.2361623129,-0.1801635141,-0.2033983682,-0.1416703121,-0.2448614739,-0.2368813235,-0.1678621282,-0.2263622256,-0.2001626454,-0.1979302332,-0.1434799723,-0.1945349875,-0.290084226,2.7225563177,-0.2098641561,-0.1687918434,-0.1981962477,-0.2310397976
-0.120836684,-0.2226561273,-0.3840293749,-0.2368058313,-0.287908463,-0.2207655642,-0.2154626296,-0.2210335477,-0.2004547856,2.6827711675,-0.2182328315,-0.143430239,-0.2255276947,-0.1307298096,-0.2108429177,-0.1970757858,-0.1884330469,-0.2069416064,-0.2389054907,-0.2067576951,-0.062289172,-0.2243305417,-0.2434655763,2.8403489801,-0.1988270603,-0.2463231952,-0.1900809159,-0.2809735613
-0.1722098741,-0.2355097908,-0.4349780033,-0.2656382086,-0.2351965814,-0.1360117062,-0.2234139297,-0.2463574894,-0.2225825947,2.6819489251,-0.2555669163,-0.1672849384,-0.2573073388,-0.2345306527,-0.2226434629,-0.1474396452,-0.2368910276,-0.1957206296,-0.270194269,-0.2248729524,-0.1688772917,-0.1570566649,-0.1968124619,3.0754217583,-0.1983382186,-0.1220083678,-0.2333172604,-0.296610407
-0.1792902162,-0.2076297193,-0.4318041022,-0.2178419785,-0.2703938983,-0.3295745736,-0.2569769734,-0.2272123564,-0.2128511146,2.7516947206,-0.2555957876,-0.2339987634,-0.2363659662,-0.2033479038,-0.2168210111,-0.2041863452,-0.1888646754,-0.2534466372,-0.2126052936,-0.2203039166,-0.2430861447,-0.2205191841,-0.182249638,3.4097755835,-0.215271376,-0.2401005508,-0.2376272373,-0.2635049406
-0.2099891343,-0.2817172265,-0.4298734585,-0.269478504,-0.2980900555,-0.2064892948,-0.238732442,-0.2349394013,-0.2430513172,2.7733459986,-0.2626430099,-0.3407048799,-0.2531373366,-0.2567854756,-0.2768407802,-0.2630990319,-0.2311627936,-0.1967753628,-0.2185549124,-0.2355650926,-0.2444379794,-0.1808210039,-0.1749896623,3.8701780839,-0.2452909763,-0.3026661236,-0.2366602989,-0.3110285285
-0.2613859427,-0.2775168597,-0.4581307103,-0.2711015019,-0.277818051,-0.4436846409,-0.2564535535,-0.2402273212,-0.2603721294,2.847907055,-0.3254613705,-0.281147025,-0.2629000481,-0.1812864404,-0.2738212891,-0.2915781716,-0.2512676851,-0.2289169396,-0.1445637456,-0.2448673388,-0.3310029945,-0.2654408135,-0.2341606999,4.3525872864,-0.2541477961,-0.2652418755,-0.269495359,-0.3485040384
